Form,Wallet,Moral,Class
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
A,2,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
B,1,1,1
A,2,1,2
A,1,2,2
A,2,1,2
A,2,1,2
A,2,1,2
A,2,1,2
A,1,2,2
A,2,1,2
A,2,1,2
A,1,2,2
A,2,1,2
A,2,1,2
A,2,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
B,1,1,2
A,2,1,3
A,2,1,3
A,1,2,3
A,1,2,3
A,1,2,3
A,2,1,3
A,2,1,3
A,2,1,3
A,2,1,3
A,2,1,3
A,2,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
B,1,1,3
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
A,2,1,4
B,1,1,4
B,1,1,4
B,1,1,4
B,1,1,4
B,1,1,4
B,2,2,4
B,1,1,4
B,1,1,4
B,1,1,4
B,1,1,4
B,1,1,4
B,1,1,4
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,2,1,5
A,1,2,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
B,1,1,5
A,2,1,6
A,2,1,6
A,2,1,6
A,2,1,6
A,2,1,6
A,2,1,6
A,2,1,6
A,2,1,6
A,1,2,6
A,2,1,6
A,2,1,6
A,1,2,6
B,1,1,6
B,1,1,6
B,1,1,6
B,2,2,6
B,1,1,6
B,1,1,6
B,1,1,6
B,1,1,6
B,1,1,6
B,1,1,6
B,1,1,6
B,1,1,6
A,2,1,7
A,2,1,7
A,2,1,7
A,2,1,7
A,2,1,7
A,1,2,7
A,2,1,7
A,1,2,7
A,2,1,7
A,2,1,7
A,2,1,7
B,1,1,7
B,1,1,7
B,1,1,7
B,1,1,7
B,1,1,7
B,1,1,7
B,2,2,7
B,1,1,7
B,1,1,7
B,1,1,7
B,1,1,7
B,1,1,7
A,1,2,8
A,2,1,8
A,2,1,8
A,2,1,8
A,2,1,8
A,2,1,8
A,2,1,8
A,2,1,8
A,2,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
B,1,1,8
A,2,1,9
A,2,1,9
A,2,1,9
A,2,1,9
A,1,2,9
A,2,1,9
A,1,2,9
A,2,1,9
A,2,1,9
A,1,2,9
A,2,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
B,1,1,9
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,2,1,10
A,1,2,10
A,2,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,2,2,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
B,1,1,10
A,2,1,11
A,2,1,11
A,2,1,11
A,2,1,11
A,2,1,11
A,1,2,11
A,2,1,11
A,2,1,11
A,2,1,11
A,2,1,11
A,2,1,11
A,2,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
B,1,1,11
A,2,1,12
A,2,1,12
A,2,1,12
A,2,1,12
A,1,2,12
A,1,2,12
A,2,1,12
A,1,2,12
A,2,1,12
A,2,1,12
A,1,2,12
A,2,1,12
A,2,1,12
A,2,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,2,2,12
B,1,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,1,1,12
B,2,2,12
B,1,1,12
B,1,1,12
