Class,Form,Moon
1,A,1500
1,A,952
1,A,1200
1,A,5000
1,A,200
1,A,10000
1,A,900
1,A,100000
1,A,1500
1,A,876
1,A,1300
1,A,1200
1,B,2500
1,B,3500
1,B,4280
1,B,2500
1,B,1500
1,B,2800
1,B,5000
1,B,10000
1,B,1500
1,B,5000
1,B,2300
1,B,3000
1,B,100000
2,A,5000
2,A,930
2,A,1000
2,A,5000
2,A,1200
2,A,2000
2,A,5000
2,A,2000
2,A,12000
2,A,3400
2,A,849
2,A,3000
2,B,2999
2,B,9000
2,B,2500
2,B,1000
2,B,3500
2,B,750000
2,B,1500
2,B,2856
2,B,4500
2,B,
2,B,
3,A,800
3,A,2000
3,A,100000
3,A,500
3,A,900
3,A,750
3,A,2000
3,A,10000
3,A,2000
3,A,1500
3,A,
3,A,1500
3,B,2000
3,B,4000
3,B,4000
3,B,5000
3,B,2000
3,B,1000
3,B,3222
3,B,1500
3,B,1500
3,B,2900
3,B,4000
3,B,10000
4,A,1600
4,A,2000
4,A,500
4,A,1000
4,A,1500
4,A,1000
4,A,1200
4,A,600000
4,A,2000
4,A,100000
4,B,3300
4,B,1500
4,B,5500
4,B,2593
4,B,2600
4,B,500
4,B,300000
4,B,2500
4,B,10000
5,A,800
5,A,250
5,A,2500
5,A,2000
5,A,1000
5,A,8698
5,A,1200
5,A,5280
5,A,3000
5,B,3500
5,B,3500
5,B,2500
5,B,5000
5,B,5000
5,B,1750
5,B,3500
5,B,10000
5,B,3000
6,A,3285
6,A,1800
6,A,2000
6,A,1750
6,A,1000
6,A,750
6,A,1001
6,A,1500
6,A,5000
6,A,3500
6,A,2000
6,B,5000
6,B,8000
6,B,2000
6,B,5000
6,B,5000
6,B,3000
6,B,4000
6,B,700
6,B,8000
6,B,5000
6,B,2758
6,B,2875
7,A,1175
7,A,20000
7,A,950
7,A,750
7,A,2000
7,A,1437
7,A,2000
7,A,2160
7,A,1625
7,A,1050
7,A,2350
7,A,1600
7,A,500
7,A,50
7,A,
7,B,1857
7,B,2000
7,B,2500
7,B,2300
7,B,2500
7,B,3000
7,B,3001
7,B,8992
7,B,3000
7,B,1000
7,B,
7,B,3500
7,B,2500
7,B,2225
8,A,1120
8,A,1783
8,A,8000
8,A,11000
8,A,1800
8,A,3000
8,A,999
8,A,2000
8,A,1200
8,A,1000
8,A,768
8,A,834
8,B,4100
8,B,5000
8,B,2800
8,B,2763
8,B,2000
8,B,2000
8,B,2850
8,B,3000
8,B,2050
8,B,8000
8,B,2000
9,A,1000000000
9,A,3000
9,A,2000
9,A,1010
9,A,250
9,A,500000
9,A,10000
9,A,100000
9,A,100000
9,A,3000
9,A,1500
9,A,849
9,A,2001
9,A,3476
9,B,5000
9,B,2000
9,B,2000
9,B,300
9,B,2500
9,B,3001
9,B,3500
9,B,5000
9,B,7000
9,B,5000
9,B,5000
9,B,3001
9,B,3001
9,B,2300
9,B,2999
10,A,4000
10,A,800
10,A,3000
10,A,1200
10,A,2000
10,A,2000
10,A,4500
10,A,6000
10,A,3500
10,A,1274
10,A,3000
10,A,5000
10,B,4000
10,B,10000
10,B,3020
10,B,40000
10,B,4500
10,B,1506
10,B,3500
10,B,73000
10,B,2500
10,B,
10,B,2500
10,B,50
11,A,567
11,A,3000
11,A,999
11,A,1000
11,A,4000
11,A,1500
11,A,3000
11,A,2000
11,A,2000
11,A,850
11,B,6000
11,B,3500
11,B,2999
11,B,4500
11,B,5000
11,B,6000
11,B,3001
11,B,100
11,B,5643
11,B,2600
11,B,5000
11,B,2000
